city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Aadorf,47.4939,8.8975,Switzerland,CH,Thurgau,,9036,9036
Aarau,47.3923,8.0446,Switzerland,CH,Aargau,admin,21268,21268
Aarberg,47.0458,7.2764,Switzerland,CH,Bern,minor,4629,4629
Aarburg,47.3206,7.9014,Switzerland,CH,Aargau,,8068,8068
Aarwangen,47.2414,7.7708,Switzerland,CH,Bern,,4514,4514
Acquarossa,46.4599,8.9273,Switzerland,CH,Ticino,,1808,1808
Adelboden,46.4931,7.5586,Switzerland,CH,Bern,,3371,3371
Adligenswil,47.0706,8.3650,Switzerland,CH,Luzern,,5391,5391
Adliswil,47.3122,8.5256,Switzerland,CH,Zürich,,18731,18731
Aegerten,47.1164,7.2833,Switzerland,CH,Bern,,2158,2158
Aesch,47.2547,8.2414,Switzerland,CH,Luzern,,1205,1205
Aesch,47.3369,8.4381,Switzerland,CH,Zürich,,1341,1341
Aesch,47.4694,7.5942,Switzerland,CH,Basel-Landschaft,,10352,10352
Aeugst am Albis,47.2675,8.4853,Switzerland,CH,Zürich,,1982,1982
Affeltrangen,47.5164,9.0167,Switzerland,CH,Thurgau,,2551,2551
Affoltern am Albis,47.2817,8.4502,Switzerland,CH,Zürich,,12080,12080
Affoltern im Emmental,47.0497,7.7167,Switzerland,CH,Bern,,1097,1097
Agno,46.0002,8.9001,Switzerland,CH,Ticino,,4445,4445
Aigle,46.3173,6.9646,Switzerland,CH,Valais,,10131,10131
Aire-la-Ville,46.1902,6.0423,Switzerland,CH,Genève,,1184,1184
Airolo,46.5333,8.6167,Switzerland,CH,Ticino,,1527,1527
Alle,47.4257,7.1291,Switzerland,CH,Jura,,1849,1849
Allschwil,47.5508,7.5358,Switzerland,CH,Basel-Landschaft,,21150,21150
Alpnach,46.9499,8.2309,Switzerland,CH,Obwalden,,6031,6031
Altdorf,46.8806,8.6394,Switzerland,CH,Uri,admin,9401,9401
Altendorf,47.1922,8.8300,Switzerland,CH,Schwyz,,7081,7081
Alterswil,46.7926,7.2638,Switzerland,CH,Fribourg,,2028,2028
Altishofen,47.1997,7.9667,Switzerland,CH,Luzern,,1577,1577
Altnau,47.6073,9.2612,Switzerland,CH,Thurgau,,2208,2208
Altstätten,47.3780,9.5488,Switzerland,CH,Sankt Gallen,minor,11730,11730
Amden,47.1489,9.1408,Switzerland,CH,Sankt Gallen,,1782,1782
Amriswil,47.5497,9.3000,Switzerland,CH,Thurgau,,13534,13534
Andelfingen,47.5947,8.6789,Switzerland,CH,Zürich,,2201,2201
Andermatt,46.6205,8.6314,Switzerland,CH,Uri,,1390,1390
Andwil,47.4406,9.2810,Switzerland,CH,Sankt Gallen,,2014,2014
Anières,46.2667,6.2167,Switzerland,CH,Genève,,2402,2402
Appenzell,47.3306,9.4086,Switzerland,CH,Appenzell Innerrhoden,admin,5649,5649
Apples,46.5500,6.4333,Switzerland,CH,Vaud,,1468,1468
Arbaz,46.2667,7.3833,Switzerland,CH,Valais,,1280,1280
Arbon,47.5167,9.4333,Switzerland,CH,Thurgau,,14537,14537
Arch,47.1679,7.4326,Switzerland,CH,Bern,,1592,1592
Ardon,46.2000,7.2500,Switzerland,CH,Valais,,3212,3212
Arisdorf,47.5128,7.7650,Switzerland,CH,Basel-Landschaft,,1638,1638
Aristau,47.2856,8.3624,Switzerland,CH,Aargau,,1498,1498
Arlesheim,47.4922,7.6203,Switzerland,CH,Basel-Landschaft,,9202,9202
Arni,47.3192,8.4222,Switzerland,CH,Aargau,,1843,1843
Arosa,46.7831,9.6831,Switzerland,CH,Graubünden,,3185,3185
Arth,47.0644,8.5242,Switzerland,CH,Schwyz,,11983,11983
Ascona,46.1500,8.7667,Switzerland,CH,Ticino,,5534,5534
Assens,46.6178,6.6274,Switzerland,CH,Vaud,,1077,1077
Attalens,46.5167,6.8500,Switzerland,CH,Fribourg,,3521,3521
Attinghausen,46.8611,8.6281,Switzerland,CH,Uri,,1725,1725
Attiswil,47.2472,7.6135,Switzerland,CH,Bern,,1504,1504
Au,47.4331,9.6333,Switzerland,CH,Sankt Gallen,,7788,7788
Aubonne,46.5000,6.3833,Switzerland,CH,Vaud,,3241,3241
Auenstein,47.4178,8.1358,Switzerland,CH,Aargau,,1581,1581
Augst,47.5350,7.7128,Switzerland,CH,Aargau,,1024,1024
Auvernier,46.9763,6.8783,Switzerland,CH,Neuchâtel,,1559,1559
Auw,47.2122,8.3664,Switzerland,CH,Aargau,,2157,2157
Avenches,46.8800,7.0398,Switzerland,CH,Vaud,,4292,4292
Avry-sur-Matran,46.7833,7.0667,Switzerland,CH,Fribourg,,1921,1921
Avully,46.1675,5.9985,Switzerland,CH,Genève,,1756,1756
Avusy,46.1500,5.9833,Switzerland,CH,Genève,,1416,1416
Ayent,46.3280,7.4103,Switzerland,CH,Valais,,4059,4059
Bäretswil,47.3369,8.8575,Switzerland,CH,Zürich,,5026,5026
Bäriswil,47.0167,7.5333,Switzerland,CH,Bern,,1062,1062
Bätterkinden,47.1333,7.5333,Switzerland,CH,Bern,,3251,3251
Bättwil,47.5000,7.5167,Switzerland,CH,Solothurn,,1186,1186
Bönigen,46.6864,7.8946,Switzerland,CH,Bern,,2535,2535
Bösingen,46.9000,7.2333,Switzerland,CH,Fribourg,,3408,3408
Böttstein,47.5567,8.2247,Switzerland,CH,Aargau,,3952,3952
Bühler,47.3728,9.4211,Switzerland,CH,Appenzell Ausserrhoden,,1798,1798
Bülach,47.5189,8.5422,Switzerland,CH,Zürich,,20046,20046
Bünzen,47.3108,8.3261,Switzerland,CH,Aargau,,1110,1110
Büren an der Aare,47.1403,7.3722,Switzerland,CH,Bern,,3580,3580
Büren,47.4511,7.6708,Switzerland,CH,Solothurn,,1042,1042
Bürglen,46.8750,8.6628,Switzerland,CH,Uri,,3976,3976
Bürglen,47.5497,9.1497,Switzerland,CH,Thurgau,,3841,3841
Büron,47.2133,8.0947,Switzerland,CH,Luzern,,2540,2540
Büsserach,47.3914,7.5403,Switzerland,CH,Solothurn,,2296,2296
Baar,47.1956,8.5264,Switzerland,CH,Zug,,24322,24322
Bad Zurzach,47.5872,8.2944,Switzerland,CH,Aargau,minor,4242,4242
Baden,47.4729,8.3080,Switzerland,CH,Aargau,,19122,19122
Bagnes,46.0833,7.2167,Switzerland,CH,Valais,,8096,8096
Balerna,45.8500,9.0000,Switzerland,CH,Ticino,,3269,3269
Balgach,47.4000,9.5997,Switzerland,CH,Sankt Gallen,,4797,4797
Ballaigues,46.7333,6.4167,Switzerland,CH,Vaud,,1064,1064
Ballwil,47.1497,8.3164,Switzerland,CH,Luzern,,2786,2786
Balsthal,47.3164,7.6944,Switzerland,CH,Solothurn,minor,6117,6117
Baltschieder,46.3759,7.8806,Switzerland,CH,Valais,,1328,1328
Barbengo,45.9622,8.9153,Switzerland,CH,Ticino,,1970,1970
Bardonnex,46.1333,6.1000,Switzerland,CH,Genève,,2299,2299
Basel,47.5606,7.5906,Switzerland,CH,Basel-Stadt,admin,177595,177595
Bassersdorf,47.4431,8.6283,Switzerland,CH,Zürich,,11593,11593
Bassins,46.4667,6.2333,Switzerland,CH,Vaud,,1344,1344
Baulmes,46.7833,6.5167,Switzerland,CH,Vaud,,1027,1027
Bauma,47.3681,8.8778,Switzerland,CH,Zürich,,4925,4925
Beatenberg,46.6997,7.8000,Switzerland,CH,Bern,,1196,1196
Beckenried,46.9665,8.4747,Switzerland,CH,Nidwalden,,3672,3672
Bedano,46.0500,8.9167,Switzerland,CH,Ticino,,1551,1551
Begnins,46.4333,6.2500,Switzerland,CH,Vaud,,1950,1950
Beinwil am See,47.2678,8.2025,Switzerland,CH,Aargau,,3276,3276
Belfaux,46.8287,7.0950,Switzerland,CH,Fribourg,,3281,3281
Bellach,47.2150,7.5000,Switzerland,CH,Solothurn,,5214,5214
Bellevue,46.2500,6.1500,Switzerland,CH,Genève,,3299,3299
Bellikon,47.3891,8.3436,Switzerland,CH,Aargau,,1562,1562
Bellinzona,46.1956,9.0238,Switzerland,CH,Ticino,,43220,43220
Bellmund,47.1029,7.2432,Switzerland,CH,Bern,,1689,1689
Belmont-sur-Lausanne,46.5265,6.6876,Switzerland,CH,Vaud,,3721,3721
Belp,46.8914,7.4972,Switzerland,CH,Bern,,11439,11439
Benken,47.1924,8.9957,Switzerland,CH,Sankt Gallen,,3025,3025
Bercher,46.6916,6.7062,Switzerland,CH,Vaud,,1238,1238
Berg,47.5000,8.1500,Switzerland,CH,Aargau,,1589,1589
Berg,47.5664,9.1664,Switzerland,CH,Thurgau,,3410,3410
Bergdietikon,47.3942,8.3861,Switzerland,CH,Aargau,,2828,2828
Berikon,47.3525,8.3736,Switzerland,CH,Aargau,,4776,4776
Beringen,47.6964,8.5754,Switzerland,CH,Schaffhausen,,4643,4643
Bern,46.9480,7.4474,Switzerland,CH,Bern,primary,133798,133798
Berneck,47.4246,9.6125,Switzerland,CH,Sankt Gallen,,3963,3963
Bernex,46.1784,6.0684,Switzerland,CH,Genève,,10233,10233
Beromünster,47.1997,8.2000,Switzerland,CH,Luzern,,6580,6580
Bettingen,47.5708,7.6650,Switzerland,CH,Basel-Stadt,,1213,1213
Bettlach,47.2039,7.4250,Switzerland,CH,Solothurn,,4910,4910
Bettwiesen,47.5000,9.0333,Switzerland,CH,Thurgau,,1247,1247
Bevaix,46.9312,6.8041,Switzerland,CH,Neuchâtel,,3784,3784
Bex,46.2500,7.0167,Switzerland,CH,Vaud,,7771,7771
Bière,46.5333,6.3333,Switzerland,CH,Vaud,,1590,1590
Biasca,46.3500,8.9667,Switzerland,CH,Ticino,,6115,6115
Biberist,47.1828,7.5586,Switzerland,CH,Solothurn,,8567,8567
Biberstein,47.4141,8.0818,Switzerland,CH,Aargau,,1571,1571
Biel/Bienne,47.1372,7.2472,Switzerland,CH,Bern,,54456,54456
Biglen,46.9278,7.6267,Switzerland,CH,Bern,,1811,1811
Binningen,47.5333,7.5667,Switzerland,CH,Basel-Landschaft,,15580,15580
Bioggio,46.0167,8.9000,Switzerland,CH,Ticino,,2626,2626
Birmensdorf,47.3542,8.4378,Switzerland,CH,Zürich,,6385,6385
Birmenstorf,47.4636,8.2500,Switzerland,CH,Aargau,,2992,2992
Birr,47.4358,8.2028,Switzerland,CH,Aargau,,4354,4354
Birrwil,47.2902,8.1962,Switzerland,CH,Aargau,,1166,1166
Birsfelden,47.5531,7.6231,Switzerland,CH,Basel-Landschaft,,10299,10299
Birwinken,47.5833,9.2000,Switzerland,CH,Thurgau,,1319,1319
Bischofszell,47.4997,9.2333,Switzerland,CH,Thurgau,,6016,6016
Blonay,46.4667,6.9000,Switzerland,CH,Vaud,,6173,6173
Blumenstein,46.7331,7.5164,Switzerland,CH,Bern,,1246,1246
Bolligen,46.9761,7.4986,Switzerland,CH,Bern,,6262,6262
Boltigen,46.6291,7.3911,Switzerland,CH,Bern,,1262,1262
Bonaduz,46.8164,9.4000,Switzerland,CH,Graubünden,,3330,3330
Boncourt,47.5000,7.0167,Switzerland,CH,Jura,,1225,1225
Boniswil,47.3178,8.1858,Switzerland,CH,Aargau,,1427,1427
Bonstetten,47.3156,8.4692,Switzerland,CH,Zürich,,5543,5543
Boppelsen,47.4714,8.4033,Switzerland,CH,Zürich,,1365,1365
Borex,46.3787,6.1781,Switzerland,CH,Vaud,,1133,1133
Bossonnens,46.5167,6.8500,Switzerland,CH,Fribourg,,1505,1505
Boswil,47.3011,8.3139,Switzerland,CH,Aargau,,2837,2837
Bottens,46.6167,6.6667,Switzerland,CH,Vaud,,1297,1297
Bottighofen,47.6397,9.2014,Switzerland,CH,Thurgau,,2226,2226
Bottmingen,47.5236,7.5697,Switzerland,CH,Basel-Landschaft,,6691,6691
Boudry,46.9500,6.8333,Switzerland,CH,Neuchâtel,,6152,6152
Brügg,47.1264,7.2817,Switzerland,CH,Bern,,4388,4388
Brütten,47.4731,8.6744,Switzerland,CH,Zürich,,2016,2016
Breitenbach,47.4083,7.5444,Switzerland,CH,Solothurn,,3854,3854
Bremgarten,47.3528,8.3400,Switzerland,CH,Aargau,minor,7765,7765
Brienz,46.7497,8.0333,Switzerland,CH,Bern,,3090,3090
Brig-Glis,46.3159,7.9876,Switzerland,CH,Valais,minor,13109,13109
Brislach,47.4188,7.5428,Switzerland,CH,Basel-Landschaft,,1652,1652
Brissago,46.1167,8.7000,Switzerland,CH,Ticino,,1773,1773
Brittnau,47.2608,7.9472,Switzerland,CH,Aargau,,3954,3954
Broc,46.6000,7.1000,Switzerland,CH,Fribourg,,2651,2651
Bronschhofen,47.4831,9.0331,Switzerland,CH,Sankt Gallen,,4515,4515
Brugg,47.4864,8.2083,Switzerland,CH,Aargau,,11129,11129
Brusio,46.2555,10.1190,Switzerland,CH,Graubünden,,1114,1114
Bubendorf,47.4497,7.7364,Switzerland,CH,Basel-Landschaft,,4389,4389
Bubikon,47.2694,8.8203,Switzerland,CH,Zürich,,7194,7194
Buchegg,47.1361,7.4764,Switzerland,CH,Solothurn,,2580,2580
Buchholterberg,46.8164,7.6833,Switzerland,CH,Bern,,1526,1526
Buchrain,47.0953,8.3475,Switzerland,CH,Luzern,,6116,6116
Buchs,47.1656,9.4711,Switzerland,CH,Sankt Gallen,,12612,12612
Buchs,47.3889,8.0747,Switzerland,CH,Aargau,,7966,7966
Buchs,47.4589,8.4378,Switzerland,CH,Zürich,,6303,6303
Bulle,46.6167,7.0500,Switzerland,CH,Fribourg,,22709,22709
Buochs,46.9746,8.4207,Switzerland,CH,Nidwalden,,5312,5312
Burg,47.2372,8.1819,Switzerland,CH,Aargau,,1023,1023
Burgdorf,47.0567,7.6264,Switzerland,CH,Bern,,16280,16280
Burgistein,46.7921,7.5032,Switzerland,CH,Bern,,1096,1096
Bussy,46.5500,6.5500,Switzerland,CH,Vaud,,8736,8736
Buttisholz,47.1136,8.0944,Switzerland,CH,Luzern,,3294,3294
Buttwil,47.2677,8.3111,Switzerland,CH,Aargau,,1228,1228
Buus,47.5053,7.8644,Switzerland,CH,Basel-Landschaft,,1066,1066
Cadempino,46.0333,8.9333,Switzerland,CH,Ticino,,1530,1530
Cadenazzo,46.1500,8.9500,Switzerland,CH,Ticino,,2932,2932
Canobbio,46.0333,8.9667,Switzerland,CH,Ticino,,2249,2249
Carouge,46.1817,6.1404,Switzerland,CH,Genève,,22336,22336
Caslano,45.9699,8.8795,Switzerland,CH,Ticino,,4356,4356
Castel San Pietro,45.8823,9.0153,Switzerland,CH,Ticino,,2159,2159
Cazis,46.7372,9.4267,Switzerland,CH,Graubünden,,2223,2223
Cernier,47.0606,6.9021,Switzerland,CH,Neuchâtel,,2000,2000
Cevio,46.3783,8.5423,Switzerland,CH,Ticino,,1159,1159
Château-d’Oex,46.4667,7.1167,Switzerland,CH,Vaud,,3459,3459
Châtel-Saint-Denis,46.5269,6.9011,Switzerland,CH,Fribourg,,6969,6969
Chéserex,46.4167,6.1667,Switzerland,CH,Vaud,,1221,1221
Chêne-Bougeries,46.1833,6.1833,Switzerland,CH,Genève,,12215,12215
Chalais,46.2477,7.5302,Switzerland,CH,Valais,,3524,3524
Chamoson,46.2000,7.2167,Switzerland,CH,Valais,,3897,3897
Champéry,46.1751,6.8714,Switzerland,CH,Valais,,1336,1336
Champagne,46.8358,6.6516,Switzerland,CH,Vaud,,1035,1035
Chancy,46.1476,5.9789,Switzerland,CH,Genève,,1686,1686
Chardonne,46.4886,6.8216,Switzerland,CH,Vaud,,2944,2944
Charrat,46.1167,7.1333,Switzerland,CH,Valais,,1849,1849
Chavannes-de-Bogis,46.3500,6.1667,Switzerland,CH,Vaud,,1285,1285
Chavannes-près-Renens,46.5282,6.5762,Switzerland,CH,Vaud,,7724,7724
Chavornay,46.7065,6.5690,Switzerland,CH,Vaud,,5000,5000
Cheseaux-sur-Lausanne,46.5833,6.6000,Switzerland,CH,Vaud,,4342,4342
Chexbres,46.4843,6.7801,Switzerland,CH,Vaud,,2238,2238
Chiasso,45.8353,9.0320,Switzerland,CH,Ticino,,7975,7975
Chippis,46.2833,7.5333,Switzerland,CH,Valais,,1617,1617
Choulex,46.2263,6.2238,Switzerland,CH,Genève,,1179,1179
Chur,46.8521,9.5297,Switzerland,CH,Graubünden,admin,35038,35038
Churwalden,46.7808,9.5433,Switzerland,CH,Graubünden,,1949,1949
